,IOC,Breeding Range,Order,Family,Turkish
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,Ak Yakalı Beçtavuğu
288,Agelastes niger,AF,GALLIFORMES,Numididae,Kara Beçtavuğu
289,Numida meleagris,AF,GALLIFORMES,Numididae,Beçtavuğu
290,Guttera plumifera,AF,GALLIFORMES,Numididae,Peruklu Beçtavuğu
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Western Crested Guineafowl
292,Guttera pucherani,AF,GALLIFORMES,Numididae,Kıvırcık Beçtavuğu
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Southern Crested Guineafowl
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,Akbaba Beçtavuğu
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,Taştavuğu
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,Nahan Kekliği
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,Ak Yüzlü Ağaçbıldırcını
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,Kara Yüzlü Ağaçbıldırcını
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,Sakallı Ağaçbıldırcını
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,Dağ Kolini
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,Pullu Kolin
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,Zarif Kolin
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,Kaliforniya Kolini
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,Gambel Kolini
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,Çubuklu Kolin
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,Virjinya Kolini
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,Kara Boğazlı Kolin
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,Spot-bellied Bobwhite
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,Sarı Suratlı Kolin
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,Mermerli Tokro
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,Kurşuni Tokro
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,Kara Boğazlı Tokro
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,Ak Yakalı Tokro
