,IOC,Breeding Range,Order,Family,Ukrainian
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,гуска білолоба
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,гуска мала
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,коскороба
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,лебідь чорний
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,лебідь чорношиїй
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,лебідь-шипун
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,лебідь чорнодзьобий
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,лебідь-кликун
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,пато
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,качка новозеландська
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,качка-пароплав патагонська
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,качка-пароплав магеланська
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,качка-пароплав фолклендська
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,качка-пароплав світлоголова
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,качка андійська
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,шпорокрил
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,качка американська
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,качка шишкодзьоба
