,IOC,Breeding Range,Order,Family,Polish
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,czubacz czerwonodzioby
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,pantarka białoszyja
288,Agelastes niger,AF,GALLIFORMES,Numididae,pantarka czarna
289,Numida meleagris,AF,GALLIFORMES,Numididae,perlica (zwyczajna)
290,Guttera plumifera,AF,GALLIFORMES,Numididae,perlica czarna
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,perlica modrolica
292,Guttera pucherani,AF,GALLIFORMES,Numididae,perlica czubata
293,Guttera edouardi,AF,GALLIFORMES,Numididae,perlica czarnolica
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,perlica sępia
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,kuraczek skalny
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,kuraczek leśny
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,przepiór białoczelny
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,przepiór czarnogardły
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,przepiór śniadoszyi
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,przepiór ozdobny
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,przepiór łuskowany
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,przepiór strojny
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,przepiór kalifornijski
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,przepiór czubaty
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,przepiór prążkowany
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,przepiór wirginijski
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,przepiór białobrewy
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,przepiór plamisty
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,przepiór zmienny
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,przepiór marmurkowy
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,przepiór brazylijski
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,przepiór czarnobrody
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,przepiór obrożny
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,przepiór czarnolicy
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,przepiór kasztanowaty
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,przepiór ciemnogrzbiety
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,przepiór peruwiański
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,przepiór panamski
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,przepiór białolicy
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,przepiór wenezuelski
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,przepiór białogardły
